sample-id	source	Fraction	density_g_ml	dna_conc	avg_16S_g_soil
162_F7	S162	7	1.7333687850000015	7.089999860197987	611842.9114089031
162_F8	S162	8	1.7279049850000021	16.082938544065556	2201038.409
162_F9	S162	9	1.722441185000001	23.185557893054877	7496682.317
162_F10	S162	10	1.7180701450000022	17.866196037463535	11562126.946531234
162_F11	S162	11	1.7126063450000029	10.056275293811128	10018004.027487816
162_F12	S162	12	1.7071425450000035	4.905130985	7565071.059380196
162_F13	S162	13	1.7016787450000006	3.862222486563971	4144535.7858407237
162_F14	S162	14	1.6951221850000024	2.204040976874125	1847238.191
162_F15	S162	15	1.690751145000002	1.3202736243419113	1052786.5766697961
162_F16	S162	16	1.6852873450000025	0.8446694150750389	611712.3702222127
162_F17	S162	17	1.6767364980000021	0.768879398	1016543.0999655613
162_F18	S162	18	1.6395826580000037	0.49981427431917513	562630.8390023484
163_F1	S163	1	1.774347285000001	0.028336894452432874	12561.981522447366
163_F2	S163	2	1.7688834850000017	0.063561245	18688.098246420435
163_F3	S163	3	1.7625181580000007	0.10998672476266275	29336.337797189335
163_F4	S163	4	1.7557703650000018	0.028863032	6459.971639224943
163_F5	S163	5	1.7504977980000014	0.030706421485758844	10445.210149687488
163_F6	S163	6	1.7439412379999997	0.13279054957191827	20105.24235
163_F7	S163	7	1.7373846780000015	0.4668893223764839	65615.08021
163_F8	S163	8	1.7319208780000022	3.2498177353445272	275370.1590222407
163_F9	S163	9	1.7277410710000023	15.105150069766117	1250656.304
163_F10	S163	10	1.7222772709999994	23.81994841951629	7819774.230955862
163_F11	S163	11	1.716813471	22.74170965809678	17078458.455913134
163_F12	S163	12	1.7113496710000007	12.798489495604601	8640067.331480958
163_F13	S163	13	1.7047931110000025	3.526265243134335	6093483.681
163_F14	S163	14	1.6995205440000003	1.1402121232792262	1639074.9122714202
163_F15	S163	15	1.694056744000001	1.5659121283656212	2159567.0647374503
163_F16	S163	16	1.6887841770000023	1.2115675577120242	1270908.5869246933
163_F17	S163	17	1.683320377000003	0.6969873007361933	647337.9137979791
163_F18	S163	18	1.6767638170000012	0.5409673285861876	418767.9447213737
163_F19	S163	19	1.649444817000001	0.5670837722476122	321047.49927973264
164_F1	S164	1	1.7721617650000017	0.044842909	2296.1255334774537
164_F2	S164	2	1.7688834850000017	0.050755463587517535	5754.376872489097
164_F3	S164	3	1.7634196850000006	0.026442387	7881.530360767093
164_F4	S164	4	1.7568631250000006	0.026033096	13492.680385342033
164_F5	S164	5	1.7503065650000025	0.11527832290569219	20758.625249986068
164_F6	S164	6	1.7437500050000008	0.24698703737825337	40639.637135891164
164_F7	S164	7	1.7382862050000014	0.6034957234296473	80073.49009108449
164_F8	S164	8	1.7319208780000022	2.323190789361316	188760.84295660933
164_F9	S164	9	1.7264570780000028	3.9243734339498744	500236.1161
164_F10	S164	10	1.7220860380000005	27.79189028007617	9411471.503248703
164_F11	S164	11	1.7166222380000011	19.83648667922427	16709369.859955132
164_F12	S164	12	1.7111584380000018	12.67855520003801	11513300.826327765
164_F13	S164	13	1.7056946380000024	6.7511564657321825	8468242.874
164_F14	S164	14	1.7002308379999995	0.7986348687822279	1000624.8281359387
164_F15	S164	15	1.6947670380000002	0.3059449083859647	292963.46294149733
164_F16	S164	16	1.6893032380000008	0.1527442691848192	177046.17240081934
164_F17	S164	17	1.6818451510000028	0.08675124	103585.72391560953
164_F18	S164	18	1.6741958310000005	0.1407800157088275	93096.82902009987
164_F19	S164	19	1.653433391	0.068400223	104686.74278865468
178_F1	S178	1	1.7698123310000007	0.4358250120539437	213588.1308
178_F2	S178	2	1.7641572980000007	1.1312074118812268	296234.0455
178_F3	S178	3	1.758884731000002	1.8343471381651133	542495.3984
178_F4	S178	4	1.7534209310000026	2.8832128729076416	1100699.3482693732
178_F5	S178	5	1.746864371000001	3.4422869766384583	2343551.965245567
178_F6	S178	6	1.740307811000001	3.780672898125381	4177211.7475277097
178_F7	S178	7	1.7359367710000022	6.408008733195366	5019407.413905821
178_F8	S178	8	1.7304729710000029	8.913905602178495	5205304.968058829
178_F9	S178	9	1.7250091710000017	12.753316266881505	7131213.339
178_F10	S178	10	1.7206381310000012	15.647248696229815	9856923.525887787
178_F11	S178	11	1.7162670910000024	9.385264528406779	9491516.768773956
178_F12	S178	12	1.7099017640000032	6.772804916991551	7332901.562949419
178_F13	S178	13	1.7055307240000026	0.056926489	4643404.828599556
178_F14	S178	14	1.7000669240000015	0.076417436	2264175.641014923
178_F15	S178	15	1.6935103640000015	0.10074572231107067	1438429.581
178_F16	S178	16	1.6891393240000028	0.11968011263270455	826736.0655268658
178_F17	S178	17	1.6825827640000028	0.075827014	659232.9196204293
178_F18	S178	18	1.6607275640000037	0.077560502	421450.4842628687
179_F1	S179	1	1.7807672500000002	0	3058.270894
179_F2	S179	2	1.7754946830000016	0	3950.7264014708403
179_F3	S179	3	1.7678453630000028	0.073983684	7522.237845203476
179_F4	S179	4	1.7612888030000011	0.695268303	33867.33941088964
179_F5	S179	5	1.7558250030000018	2.065486609	329201.73745914764
179_F6	S179	6	1.7492684430000018	2.5628377611758784	1274624.0231743902
179_F7	S179	7	1.7429031160000008	2.7667962159774864	2548017.9532286967
179_F8	S179	8	1.7374393160000015	4.230428945790884	2550454.4110769834
179_F9	S179	9	1.7308827560000015	7.775328539299289	2959875.6713225096
179_F10	S179	10	1.7276044760000016	13.086172948456431	4846489.455585147
179_F11	S179	11	1.7210479159999998	15.222106332524975	8188987.190446054
179_F12	S179	12	1.7155841160000005	9.563319602283832	9609665.541065583
179_F13	S179	13	1.7135898290000018	5.120313832939238	8348000.187989507
179_F14	S179	14	1.7037549890000019	2.265346490918382	4593896.196519824
179_F15	S179	15	1.6961056690000014	1.338075767979488	2143006.577649453
179_F16	S179	16	1.6917346290000008	0.829904627	976374.4113
179_F17	S179	17	1.6862708290000015	0.4317078593496215	408430.1487307323
179_F18	S179	18	1.6809982620000028	0.239881042	232351.92896269402
